"country","fsystem","crop","total","area5.5_ha","area6.0_ha","area6.5_ha","area14_ha","diff"
"Swaziland","2. Agro-pastoral","WHEA",0.5,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","BARL",NA,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","ACOF",NA,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","RCOF",NA,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","RICE",NA,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","PMIL",NA,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","SMIL",NA,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","POTA",NA,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","SWPO",1.89999997615814,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","CASS",NA,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","COWP",3.20000004768372,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","PIGE",NA,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","SOYB",NA,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","GROU",0.100000001490116,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","SUGC",NA,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","COTT",NA,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","COCO",NA,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","TEAS",NA,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","TOBA",NA,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","BANA",NA,NA,NA,NA,NA,NA
"Swaziland","2. Agro-pastoral","PLNT",NA,NA,NA,NA,NA,NA
"Swaziland","12. Perennial mixed","MAIZ",71890.3000594378,17628.600060463,31496.300016284,17189.9000165462,214.799999237061,5360.6999669075
"Swaziland","12. Perennial mixed","SORG",1686.89999872446,369.999999523163,424.199999071658,593.800003863871,24.6000002622604,274.299996003509
"Swaziland","12. Perennial mixed","BEAN",3907.90000424534,753.500000298023,1519.00000336766,1287.20000138879,51.7999994754791,296.399999715388
"Swaziland","12. Perennial mixed","CHIC",248,45,102,91,10,0
"Swaziland","12. Perennial mixed","LENT",248,45,102,91,10,0
"Swaziland","12. Perennial mixed","WHEA",476.200000084937,114.900000542402,149.700000397861,112.199999794364,4.50000002980232,94.899999320507
"Swaziland","12. Perennial mixed","BARL",248,45,102,91,10,0
"Swaziland","12. Perennial mixed","ACOF",247.10000000149,45,101.10000000149,91,10,0
"Swaziland","12. Perennial mixed","RCOF",248,45,102,91,10,0
"Swaziland","12. Perennial mixed","RICE",253.700000531971,43.400000013411,107.400000281632,89.3000002279878,7.50000000745058,6.10000000149012
"Swaziland","12. Perennial mixed","PMIL",294.200001060963,45,121.00000038743,114.1000007689,10,4.09999990463257
"Swaziland","12. Perennial mixed","SMIL",248,45,102,91,10,0
"Swaziland","12. Perennial mixed","POTA",3758.50000994653,1074.60000860691,1716.20000326633,804.799997828901,22.0999998152256,140.800000429153
"Swaziland","12. Perennial mixed","SWPO",1533.79999635369,291.500001192093,765.699994601309,399.100000739098,13.6999998688698,63.7999999523163
"Swaziland","12. Perennial mixed","CASS",733.399993896484,45,233,390.099994659424,10,55.2999992370605
"Swaziland","12. Perennial mixed","COWP",2287.9000005126,304.39999884367,1003.90000295639,803.899999856949,27.5000001192093,148.199998736382
"Swaziland","12. Perennial mixed","PIGE",248,45,102,91,10,0
"Swaziland","12. Perennial mixed","SOYB",1982.69999885559,64.7000007629395,182.500001907349,894.099990844727,10,831.400005340576
"Swaziland","12. Perennial mixed","GROU",6233.40001817048,729.200003966689,3689.9000126943,1490.29999711365,13.3000002205372,310.700004175305
"Swaziland","12. Perennial mixed","SUGC",55409.3000478148,1396.90002059937,9658.3000497818,39422.4999873638,3573.19999885559,1358.39999121428
"Swaziland","12. Perennial mixed","COTT",2672.4999891147,286.599998116493,1349.2999908179,821.900001145899,37.8999997973442,176.799999237061
"Swaziland","12. Perennial mixed","COCO",248,45,102,91,10,0
"Swaziland","12. Perennial mixed","TEAS",248,45,102,91,10,0
"Swaziland","12. Perennial mixed","TOBA",451.100002832711,43.4000001400709,196.000002630055,188.599999830127,15.2000003233552,7.89999990910292
"Swaziland","12. Perennial mixed","BANA",1282.59999635816,423.899999141693,616.599998757243,132.199999548495,9.60000003129244,100.299998879433
"Swaziland","12. Perennial mixed","PLNT",248,45,102,91,10,0
"Tanzania","1. Maize mixed","MAIZ",1066588.29998096,74275.199865818,354992.000440098,417108.199859053,103316.600016311,116896.299799681
"Tanzania","1. Maize mixed","SORG",244706.299882032,10161.099984467,48922.600046128,86322.7999927923,64012.7998543978,35287.0000042468
"Tanzania","1. Maize mixed","BEAN",171232.599691726,13591.3999691755,62383.5999946594,59955.4998254776,12777.5999604613,22524.4999419525
"Tanzania","1. Maize mixed","CHIC",13615.8000906706,307.299999237061,1380.60000038147,2785.69995880127,6590.40013873577,2551.79999351501
"Tanzania","1. Maize mixed","LENT",2977.30000019073,292,1348.30000019073,1055,282,0
"Tanzania","1. Maize mixed","WHEA",12593.3999993131,3261.49997794628,4943.50000686944,2041.29999637604,1226.60001217574,1120.50000594556
"Tanzania","1. Maize mixed","BARL",3777.89999938011,292,1488.10000014305,1232.30000305176,670.099994659424,95.4000015258789
"Tanzania","1. Maize mixed","ACOF",30014.7999469191,3332.99995456636,21513.3000075221,2993.29999633133,650.899996250868,1524.29999224842
"Tanzania","1. Maize mixed","RCOF",2967,292,1338,1055,282,0
"Tanzania","1. Maize mixed","RICE",479339.799993947,25214.3999827057,207793.500003755,171528.299938634,23182.1001054794,51621.4999633729
"Tanzania","1. Maize mixed","PMIL",31827.7000240237,477.599999666214,1919.40001381934,10203.900018692,13963.7000074536,5263.09998439252
"Tanzania","1. Maize mixed","SMIL",38385.8000259548,1991.7000027895,19615.1999923587,10046.0000321046,2039.00000713021,4693.8999915719
"Tanzania","1. Maize mixed","POTA",29257.1001346484,6000.49999628216,11905.800039269,8146.80011367798,332.999998390675,2870.99998702854
